"Supplied Name","guid","scientificName","family","kingdom","Grouping","SPECIESTYPE","NSXCODE","vernacular name","Clarifier","Threaten a species/environment;","Reason","Threaten someones privacy;"
"Gastrodia vescula","http://id.biodiversity.org.au/name/apni/117461","Gastrodia vescula",,,"Orchids","P","G05387","Lesser Potato Orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis lepida","http://id.biodiversity.org.au/name/apni/226098","Pterostylis lepida",,,"Orchids","P","K05645","Halbury Rustyhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Brachyscome melanocarpa","http://id.biodiversity.org.au/node/apni/2912952","Brachyscome melanocarpa","Asteraceae",,"Garden Trade -Other Ornamental Horticulture plants","P","G02979","Black-fruit Daisy","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Thelymitra malvina","NZOR-4-76548","Thelymitra malvina","Orchidaceae",,"Orchids","P","U05470","Mauve-tufted Sun-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia ovata","http://id.biodiversity.org.au/node/apni/2918916","Caladenia ovata","Orchidaceae",,"Orchids","P","G00779","Kangaroo Island Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis falcata","http://id.biodiversity.org.au/name/apni/74578","Pterostylis falcata",,,"Orchids","P","Q30120","Forked Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Microtis eremaea","http://id.biodiversity.org.au/name/apni/163369","Microtis eremaea",,,"Orchids","P","S06333","Slender Onion-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Genoplesium ciliatum","http://id.biodiversity.org.au/name/apni/66149","Genoplesium ciliatum",,,"Orchids","P","K00817","Swamp Midge-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia tensa","http://id.biodiversity.org.au/node/apni/2896615","Caladenia tensa","Orchidaceae",,"Orchids","P","A05384","Inland Green-comb Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis chlorogramma","http://id.biodiversity.org.au/node/apni/2895281","Pterostylis chlorogramma","Orchidaceae",,"Orchids","P","C05749","Verdant Banded Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Dianella callicarpa","http://id.biodiversity.org.au/node/apni/2909868","Dianella callicarpa","Hemerocallidaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","A05544","Swamp Flax-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia gracilis","NZOR-4-123825","Caladenia gracilis","Orchidaceae",,"Orchids","P","U00766","Musky Caladenia","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Haliaeetus leucogaster","urn:lsid:biodiversity.org.au:afd.taxon:cdaae4b5-4a09-4986-8f7b-7cfdddbfc723","Haliaeetus (Pontoaetus) leucogaster","Accipitridae",,,"B","M00226",,"All known nests on natural and artificial structures and breeding territories. Proposed establishment of ‘~1.5 km buffer zones’ around known nest sites to limit disturbance by humans or human activity (Dennis, 2012).","y","Both species are listed as Endangered under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (e.g. Vic/WA for White-bellied Sea-Eagle and NSW for Osprey).",
"Swainsona vestita","http://id.biodiversity.org.au/node/apni/2899327","Swainsona vestita","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","K05557",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia formosa","http://id.biodiversity.org.au/node/apni/2888253","Caladenia formosa","Orchidaceae",,"Orchids","P","M05150","Elegant Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Falco peregrinus","urn:lsid:biodiversity.org.au:afd.taxon:364d0d4b-e986-45af-b5da-bb372a3ad39c","Falco (Hierofalco) peregrinus","Falconidae",,"Raptors","B","S00237",,"All known nests on natural and artificial structures","y","These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).",
"Scaevola calendulacea","http://id.biodiversity.org.au/node/apni/2895703","Scaevola calendulacea","Goodeniaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","A02908",,"Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Swainsona pyrophila","http://id.biodiversity.org.au/node/apni/2895241","Swainsona pyrophila","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Z01791","Yellow Swainson-pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pterostylis uliginosa","http://id.biodiversity.org.au/name/apni/156106","Pterostylis uliginosa",,,"Orchids","P","W05675","Peat Bog Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Falco hypoleucos","urn:lsid:biodiversity.org.au:afd.taxon:5c4c5947-83a6-4a42-b861-8c408cfed4e7","Falco (Hierofalco) hypoleucos","Falconidae",,"Raptors","B","Q00236",,"All known nests on natural and artificial structures","y","These Raptors are listed under the SA NP&W Act and are at risk of egg collection and nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below).",
"Xanthorrhoea minor ssp. lutea","ALA_Xanthorrhoea_minor_ssp_lutea","Xanthorrhoea minor ssp. lutea",,,"Garden Trade -Other Ornamental Horticulture plants","P","E04894","Little Yacca","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Schizaea bifida","http://id.biodiversity.org.au/node/apni/2913835","Schizaea bifida","Schizaeaceae",,"Ferns & Allies","P","Q00032","Forked Comb-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Dipodium punctatum","http://id.biodiversity.org.au/name/apni/79508","Dipodium punctatum",,,"Orchids","P","Y05176","Dark Spotted Hyacinth-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Swainsona minutiflora","http://id.biodiversity.org.au/node/apni/2908145","Swainsona minutiflora","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","W01795","Small-flower Swainson-pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia gladiolata","http://id.biodiversity.org.au/node/apni/2913185","Caladenia gladiolata","Orchidaceae",,"Orchids","P","U00774","Bayonet Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Montia fontana ssp. chondrosperma","ALA_Montia_fontana_ssp_chondrosperma","Montia fontana ssp. chondrosperma",,,"Aquatics","P","E01058","Waterblinks","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are aquatic or semi-aquatic plants, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Doodia caudata","http://id.biodiversity.org.au/node/apni/2920175","Doodia caudata","Blechnaceae",,"Ferns & Allies","P","K00057","Small Rasp-fern","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the SA NPW Act. All species are ferns or fern allies, and are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Rhodanthe oppositifolia ssp. oppositifolia","ALA_Rhodanthe_oppositifolia_ssp_oppositifolia","Rhodanthe oppositifolia ssp. oppositifolia",,,"Garden Trade -Other Ornamental Horticulture plants","P","U03182","Twin-leaf Everlasting","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia parva","http://id.biodiversity.org.au/name/apni/119070","Caladenia parva",,,"Orchids","P","Z05151","Small Green-comb Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Stypandra glauca","http://id.biodiversity.org.au/node/apni/2892177","Stypandra glauca","Hemerocallidaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","K00701","Nodding Grass-lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Diuris behrii","http://id.biodiversity.org.au/node/apni/2919666","Diuris behrii","Orchidaceae",,"Orchids","P","G04391","Behr's Cowslip Orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Paracaleana disjuncta","http://id.biodiversity.org.au/name/apni/181376","Paracaleana disjuncta",,,"Orchids","P","U03950","Black-beak Duck-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Calyptorhynchus banksii graptogyne","urn:lsid:biodiversity.org.au:afd.taxon:3d0bdf71-baf3-4c0d-a2d0-c3b95856c980","Calyptorhynchus (Calyptorhynchus) banksii graptogyne","Cacatuidae",,"Cockatoos","B","Y09312","Red-tailed Black-Cockatoo (south east subspecies)","All known nest hollows and artificial nest boxes.","y","These Cockatoo species are listed under the EPBC Act and/or SA NP&W Act and are at risk of nest disturbance. Data restrictions are consistent with other current jurisdictional restrictions (see below) and with conservation Objectives of The Action Plan for Australian Birds (2010) and National Recovery Plans for the Red-tailed and Glossy Black-Cockatoos (2007 and 2005, respectively). The Glossy Black-Cockatoo is endemic to SA.",
"Caladenia xantholeuca","http://id.biodiversity.org.au/node/apni/2906511","Caladenia xantholeuca","Orchidaceae",,"Orchids","P","C04841","Flinders Ranges White Caladenia","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Thelionema caespitosum","http://id.biodiversity.org.au/node/apni/2918860","Thelionema caespitosum","Hemerocallidaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","Z04839","Tufted Lily","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Pterostylis lustra","http://id.biodiversity.org.au/name/apni/203337","Pterostylis lustra",,,"Orchids","P","S30121","Forked Greenhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Swainsona viridis","http://id.biodiversity.org.au/node/apni/2910487","Swainsona viridis","Fabaceae",,"Garden Trade -Other Ornamental Horticulture plants","P","A01808","Creeping Darling Pea","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered at risk from illegal collection, particularly for the ornamental horticulture trade.",
"Caladenia valida","http://id.biodiversity.org.au/name/apni/116854","Caladenia valida",,,"Orchids","P","S04265","Robust Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pterostylis ferruginea","http://id.biodiversity.org.au/name/apni/226095","Pterostylis ferruginea",,,"Orchids","P","W04719","Bangham Rustyhood","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Genoplesium morrisii","http://id.biodiversity.org.au/name/apni/66166","Genoplesium morrisii",,,"Orchids","P","K00825","Bearded Midge-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Caladenia lowanensis","http://id.biodiversity.org.au/node/apni/2890196","Caladenia lowanensis","Orchidaceae",,"Orchids","P","Y05168","Wimmera Spider-orchid","Grid references, lats and longs, detailed location descriptions","y","All species are listed as either Critically Endangered, Endangered or Vulnerable under the EPBC Act or the SA NPW Act. All species are considered difficult to propagate and at risk from trampling or illegal collection, particularly by orchid enthusiasts.",
"Pandion haliaetus","40077003","Pandion haliaetus","Accipitridae",,,"Birds","K00241","Osprey","nesting related records & breeding territories","yes","nesting related records & breeding territories at risk",
